,Bit-length,Lattice Dimension,N,l,c,|b_op - t|^2,P(b_op),|v_best - t|^2,P(v_best),P(|v_new - t|^2 < |b_op - t|^2),P(|v_new - t|^2 > |b_op - t|^2),E[|v_new - t|^2],Pre-training Bit-length
0,4.0,2.0,11.0,1.0,3.0,7.810249675906654,0.11750000000000005,7.810249675906654,0.1175,0.0,0.8825,35.95179183956542,10.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.23070000000000002,5.0990195135927845,0.2307,0.0,0.7693,27.93759712491886,10.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.23070000000000002,5.0990195135927845,0.2307,0.0,0.7693,27.93759712491886,10.0
0,4.0,2.0,11.0,1.0,3.0,7.810249675906654,0.11750000000000005,7.810249675906654,0.1175,0.0,0.8825,35.95179183956542,10.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.23070000000000002,5.0990195135927845,0.2307,0.0,0.7693,27.93759712491886,10.0
0,4.0,2.0,11.0,1.0,3.0,7.810249675906654,0.11750000000000005,7.810249675906654,0.1175,0.0,0.8825,35.95179183956542,10.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.23070000000000002,5.0990195135927845,0.2307,0.0,0.7693,27.93759712491886,10.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.23070000000000002,5.0990195135927845,0.2307,0.0,0.7693,27.93759712491886,10.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.23070000000000002,5.0990195135927845,0.2307,0.0,0.7693,27.93759712491886,10.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.23070000000000002,5.0990195135927845,0.2307,0.0,0.7693,27.93759712491886,10.0
0,4.0,2.0,11.0,1.0,3.0,7.810249675906654,0.11750000000000005,7.810249675906654,0.1175,0.0,0.8825,35.95179183956542,10.0
0,4.0,2.0,11.0,1.0,3.0,7.810249675906654,0.11750000000000005,7.810249675906654,0.1175,0.0,0.8825,35.95179183956542,10.0
0,4.0,2.0,11.0,1.0,3.0,7.810249675906654,0.11750000000000005,7.810249675906654,0.1175,0.0,0.8825,35.95179183956542,10.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.23070000000000002,5.0990195135927845,0.2307,0.0,0.7693,27.93759712491886,10.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.23070000000000002,5.0990195135927845,0.2307,0.0,0.7693,27.93759712491886,10.0
0,4.0,2.0,11.0,1.0,3.0,7.810249675906654,0.11750000000000005,7.810249675906654,0.1175,0.0,0.8825,35.95179183956542,10.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.23070000000000002,5.0990195135927845,0.2307,0.0,0.7693,27.93759712491886,10.0
0,4.0,2.0,11.0,1.0,3.0,7.810249675906654,0.11750000000000005,7.810249675906654,0.1175,0.0,0.8825,35.95179183956542,10.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.23070000000000002,5.0990195135927845,0.2307,0.0,0.7693,27.93759712491886,10.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.23070000000000002,5.0990195135927845,0.2307,0.0,0.7693,27.93759712491886,10.0
0,4.0,2.0,11.0,1.0,3.0,7.810249675906654,0.11750000000000005,7.810249675906654,0.1175,0.0,0.8825,35.95179183956542,10.0
0,4.0,2.0,11.0,1.0,3.0,7.810249675906654,0.11750000000000005,7.810249675906654,0.1175,0.0,0.8825,35.95179183956542,10.0
0,4.0,2.0,11.0,1.0,3.0,7.810249675906654,0.11750000000000005,7.810249675906654,0.1175,0.0,0.8825,35.95179183956542,10.0
0,4.0,2.0,11.0,1.0,3.0,7.810249675906654,0.11750000000000005,7.810249675906654,0.1175,0.0,0.8825,35.95179183956542,10.0
0,4.0,2.0,11.0,1.0,3.0,7.810249675906654,0.11750000000000005,7.810249675906654,0.1175,0.0,0.8825,35.95179183956542,10.0
0,4.0,2.0,11.0,1.0,3.0,7.810249675906654,0.11750000000000005,7.810249675906654,0.1175,0.0,0.8825,35.95179183956542,10.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.23070000000000002,5.0990195135927845,0.2307,0.0,0.7693,27.93759712491886,10.0
0,4.0,2.0,11.0,1.0,3.0,7.810249675906654,0.11750000000000005,7.810249675906654,0.1175,0.0,0.8825,35.95179183956542,10.0
0,4.0,2.0,11.0,1.0,3.0,7.810249675906654,0.11750000000000005,7.810249675906654,0.1175,0.0,0.8825,35.95179183956542,10.0
0,4.0,2.0,11.0,1.0,3.0,7.810249675906654,0.11750000000000005,7.810249675906654,0.1175,0.0,0.8825,35.95179183956542,10.0
0,4.0,2.0,11.0,1.0,3.0,7.810249675906654,0.11750000000000005,7.810249675906654,0.1175,0.0,0.8825,35.95179183956542,10.0
0,4.0,2.0,11.0,1.0,3.0,7.810249675906654,0.11750000000000005,7.810249675906654,0.1175,0.0,0.8825,35.95179183956542,10.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.23070000000000002,5.0990195135927845,0.2307,0.0,0.7693,27.93759712491886,10.0
